"case_id","title","source","industry","year","case_text"
"1","Managing Business with Respect: ITC Triple Bottom Line Approach","Indian Business Case Studies Volume I (Oxford University Press, 2022)","Corporate Strategy/Sustainability","2022","CASE: The ITC company was incorporated in 1910. Much has changed in these
100 years. ITC itself has metamorphosed in many ways, the least of which
is the multiple changes in nomenclature. What began and stayed for long
as only a cigarette maker has turned into a conglomerate offering a dash-
board of products and services, ranging from hospitality to toiletry to ap-
parel to food. Of course, cigarettes remain a big but gradually shrinking
part of its overall business. ITC had a market cap of over Rs 100,000 crore and ended 2008–​2009
with a turnover of Rs 15,582 crore. It employs over 26,000 people at more
than 60 locations across India and has 338,000 shareholders. It is but one of the scores of India’s centurion companies. Among
others, Andrew Yule is alive and kicking even at 130 years of age.
Then there are Allahabad Bank, Walchandnagar Industries, Tata
Steel, Bank of Baroda, Indian Bank, Alembic, Corporation Bank,
Canara Bank, Bank of India, Shalimar Paints, Indian Hotels, Spencer
& Company, Century Textiles, Punjab National Bank, and Bombay
Dyeing. Many companies were originally British and became Indian
through the fifties, sixties, and seventies. There are many that as-
sumed Indian names after takeovers by home-​ g rown business
houses. Originally incorporated as Imperial Tobacco Company of India,
ITC too has undergone a few name changes. As its ownership be-
came largely Indian, it became India Tobacco Company in 1970. Then,
keeping in fashion of the day, it abbreviated itself to ITC in 1974. That
was in recognition of its changing business portfolio, which by then in-
cluded hotels. Later it was to add information technology, packaging,
paperboards and speciality papers, agricultural business, foods, life-
style retailing, education and stationery products, personal care, and
clothing. Very few Indian companies have reinvented themselves as ITC has.
Realizing long ago that cigarette cannot be its bread and butter for long,
given the rising campaign against smoking, the company first moved
into hotels and then into the FMCG business—​both have brought
handsome rewards. Even in organizational matters, it has brought
about vast changes. For example, its divisional CEOs run their busi-
nesses almost independently; yet there’s a high level of synergy across
those businesses. Much of the change has come about under the stewardship of chairman
YC Deveshwar, who has adopted a three-​pronged strategy to continue
growth in the years to come. As ITC officials sa || SOLUTION: The ITC has focused on various Marketing strategies according to which
they have made in their marketing strategies, these are: A) Sourcing Capability—​ITC has strong sourcing capabilities. With the help of various sources, ITC was able to extend its business in different sectors. They entered into FMCG after establishing a strong base in the agricultural sector. The wheat from the agricultural sector held in establishing a market for the Aashirvaad atta. Similarly, ITC used its various sources very effectively and efficiently. B) Effective Brand Utilization—​After getting recognized in the agri- cultural and FMCG sector, ITC used its established brand name for entering into the stationary market. They introduced Classmate by ITC which helped them in grabbing a good market share. Know how to do effective Business Branding. C) Related Businesses—​ITC had very interrelated businesses. This helped them in the in-​house production of their raw materials. For example, ITC used its paperboard business for the pack- aging of its various products. It reduced the costs and need for outsourcing. D) Role of Management—​Management is the heart and soul of a suc- cessful business. Having a lead"
"2","The Enlightened Employee Unions: Negotiating with Knowledge Workers","Indian Business Case Studies Volume I (Oxford University Press, 2022)","HR/Industrial Relations","2022","CASE: The IT implosion in all aspects of business management also has de-
manded appropriate levels of education and training in the skills required
at all levels of an organization. Today everyone from the gate security to
the salesmen is required to be computer literate to be able to manage their
day-​to-​day organizational roles. Every workman (sorry, they need to be
addressed as ‘Associates’) in today’s situation needs to be able to handle
operations which are in majority of cases computer-​controlled. In gen-
eral this has led to an overall improvement of the educational levels at all business processes and also in understanding, the parameters which de-
cide the business survival. The Case Contents The employee unions and their leaders are no exception to this trend.
Over a period of the previous one decade we normally do not hear of
violent labour disturbances and slogan mongering and red flag dem-
onstrations in the major industrial estates across India. There appears
to be a sea change in the attitude and approach to employee-​related
negotiations which are done across the table or on a continuous basis
between the affected parties, using all modern methods of communi-
cations such as presentations, deliberations involving members of the
parties to the negotiations on equal footing, trying to understand each
other’s viewpoints more constructively and in the long-​term interests of
organization. This case study attempts to focus on the above and look for sustain-
ability issues of this paradigm change and seeks the participants valued
comments on the perpetuity of the current state of peaceful and pro-
ductive employee relations (ER). Few examples of educated unionism: 1. The garment and allied workers union gawu (Garment and Allied
Workers Union): This union covers a recognized employee union of the garment
workers largely from Gurgaon-​Manesar-​Bhiwandi belt. One of the major
units in this belt is the VIVA Global the main supplier of readymade gar-
ments from Marks & Spencer’s. The major issue related to the working conditions for the labour force
in the manufacturing setup is due to extremely hot ambient temperatures
and lack of drinking water facilities. What is important to be noted is that
the union leader of GAWU is Mrs Ananya Bhattacharjee, who is a com-
puter science degree holder from the Texas University and has worked
in global software giants in the Silicon Valley in the US. Mrs Ananya
Bhattacharjee (a lady in her fifties) is driven by her c || SOLUTION: The union has successfully thwarted attempts by few foreign companies
shift their base from India to other locations resulting in mass retrench-
ment and prevailed on the managements to reverse their such decisions. It appears from the international labour union scenario that they
have delinked from any political affiliations. In the UK and US, there
are powerful unions negotiating with individual employers without any
political clout. The same is seen across European countries and even in
Japan. The role of the unions has become more focused on negotiations
with the employers rather than dealing through political contacts."
"3","The Triumphant Trikaya Coating Pvt Ltd: An Addicted Entrepreneur","Indian Business Case Studies Volume I (Oxford University Press, 2022)","Entrepreneurship","2022","CASE: Mr Ram Jorapurkar was trying to relax in his armchair in his new spa-
cious residence at a serene location in the city of Nasik in Maharashtra.
His restless mind was busy chewing the remotest and latest happen-
ings in his personal and business life reminding him of the successful
and not so pleasant incidences of his climb to the present state of
affairs. Ram Jorapurkar, belongs to a highly orthodox and traditional family
background. Born and brought up in Mumbai, the hectic lifestyle how-
ever had its influence on right from his school age. His mind even then
was busy trying for an alternate way of life compared to the regimental
environment at home and the surroundings. While maintaining the decorum at home Ram started looking for breaking out from the shackles
of conventional schooling and higher studies, definitely not inclined to
study for a 9 to 5 p.m. job/​career in a government office or industry as an
employee. At an early age of 17 to 20 years he expressed his attitude towards doing
something unique unconventional and dare devilish in a dire contrast to
the expectations of the family. At 20 years he had developed his friend’s
circle and acquaintances with some political big wigs who understanding
his revolutionary approach provided him with the necessary outlet to his
frustrations of not being able to tread the family dictum. For Ram being
able to earn a regular salary through a job was never of any fulfilment
or career he always looked for entrepreneurial opportunities even before
he completed his studies. But for his parents this was an unacceptable
behavioural or growth norm, they expressed their dislike to Ram and
sometimes through family friends urging him to amend his approach to
life and follow the time-​tested way of settling in a job as a career and get-
ting married and following the family traditions as adapted by his elder
brothers. It was some time in the 1980s that Ram decided that enough was
enough and decided to quit the family ambience and took up a part-​
time job as a stepping stone for his future objectives of being his own
employer. While working in the job in a paint manufacturing firm in
western suburbs of Mumbai, Ram strengthened his links with the polit-
ical contacts to leverage resources for plunging in to an entrepreneurial
venture. However the lack of formal education and training in the tech-
nical aspects of any product or process technology hindered his as-
pirations to latch on to a firm business idea. For some t || SOLUTION: The case study is a typical model for all aspiring entrepreneurs and stu-
dents of entrepreneurship as a course of studies as to how in uncertain
circumstances what really helps is the gut feel of the entrepreneur and the
commitment and conviction he brings to his enterprise in spite of tear-
down stress and hurdles."
"4","Building an Ethical and Smart Organization","Indian Business Case Studies Volume I (Oxford University Press, 2022)","Corporate Governance/Ethics","2022","CASE: In difficult financial times, companies face various moral issues to try
to keep up with their competitors. Although these issues have a direct
impact on employee decision making, businesses rarely address how
employees should assess the ethics of their actions and incorporate
ethics into their decisions. Often this can be alleviated by creating and
maintaining a corporate culture with a focus on ethics. Corporate cul-
ture is often considered to be both a source of various problems and the
basis for solutions and is certainly a factor that determines how people
behave in an organization. The role of management in the organizational
culture is important as it both acts as a role model for the employees and can also directly influence the behaviour and culture to improve organ-
izational performance. Of course there are better methods that manage-
ment can use to incorporate ethics into the corporate culture or increase
the likelihood that its employees will act ethically and these methods are
explored. Introduction When one evaluates the reasons for the fall of companies such as
Enron, Lehman Brothers, and WorldCom, what connects the dots is
a stupefying disregard for ethics. Closer home, Ranbaxy’s recent run-​
in with the US Food and Drug Administration has invited renewed
questions about the governance, compliance, and ethics practices of a
section of firms in India and indeed across global economies. While there is no reassurance in stating that incidents like Ranbaxy
or Wockhardt or the fact that some of India’s best-​selling small cars have
failed independent crash tests conducted by a global car safety watchdog
are aberrations rather than reflections of a systemic problem, misconduct
within its own walls remains one of the most lethal threats to any organ-
ization. Put in another way, a lack of ethics is like a missed opportunity in
a world where competitive advantage is fast becoming a commodity. Says
Rita McGrath, a professor at Columbia Business School, and author of
the End of Competitive Advantage, ‘Companies can build advantages on
the basis of ethics. High ethical standards tend to be correlated with other
positive attributes such as attention to quality, fair dealings with people
and transparency that can give organizations an advantage’. Needless to
say, the benefits of good corporate governance and a culture of ethics
percolate down to all levels of stakeholders—​investors and top-​quality em-
ployees are attracted to ethical companies. Giv || SOLUTION: Ethical issues have posed major challenges to companies in recent years
and there will undoubtedly be more in the future. Good ethical practices
may not be easy to maintain. However, with a well-​designed ethics policy,
ethical leadership and implementing ethics into organizational strategies
and processes will make it easier. The reason is because these factors are
incorporated into the organizational culture. How might a culture of
character be developed? It is certainly by intention. It is the responsibility
of particular individuals within the organization, that is, its leadership.
Strong leaders model and pass on ethical aspects of the culture and use
techniques like structure, decision-​making processes, rewards, norms,
heroes, stories, rituals, and other artefacts to create a strong culture. This
is the foundation for creating a culture of character, where members of Building an ethical and smart organization 45
the organization ‘know what is right, value what is right, and do what is
right’. In all cases, management must be committed to ethical conduct. To
conclude, despite the economic crisis, there are clear and long-​lasting ad-
vantages of establishing an ethical cultur"
"5","The Directors and the In Directors: Corporate Governance","Indian Business Case Studies Volume I (Oxford University Press, 2022)","Corporate Governance","2022","CASE: Over the previous few years we have been hearing about the issues in
‘Corporate Governance’ (CG) in the corporate circles and through the
claims at the various industry associations such as the CII, ASSOCHAM,
FICCI, and few others. To a common man who has a very superficial
understanding about the happenings in Indian business scenario, this ap-
pears to be yet another jargon meant for the publicity purposes of the
concerned business units to attract the attention of the commoner to in-
dicate that they are up to incorporating some altogether new techniques
of business management through which their superiority over the others
in competition needs to be differentiated. But the ‘Aamadmi’ is not able to
locate even a distant indication of any improvements at the marketplace
due to these claims of CG and the ‘bla–​bla’ that happens at the board
meetings. For him the things have moved from bad to worse in the prod-
ucts and services he was used to so far. The big malls and multiplexes have
taken away the personal contacts, credit terms and the affordable prices,
and near home locations he was used to till recently. Corporate Governance: A Utopian Concept? CG in India is a comparatively new concept (not necessarily new in its
philosophy and ground rules). As a sequel to liberalization and global-
ization of the Indian economy, all the concerned were exposed to the
global requirements of ethical and legal ways of conducting business
internationally. Initially the government did appoint various commit-
tees of well-​known business leaders such as the committee headed by Mr
Rahul Bajaj, Mr Kumarmangalam Birla, Mr Narayan Murthy of Infosys.
Subsequently, the company law board and SEBI have provided guide-
lines in the form of definite sections of the CLB & Listing Norms, etc.
for evaluating and certifying the corporations’ eligibility to carry out
businesses in India and abroad. In case of mergers and acquisitions the
competition committee looks into the compliance aspects to provide
support and protections to the stakeholders in the business. Many organ-
izations of course have adopted more stringent CG norms in their busi-
ness practices to ensure compliance to the ethical and legally permissible
operating practices in the conduct of their businesses. In order to ensure
protection of the stakeholders interests, further rules have been made in
the CG compliance norms, the important ones being the appointment
of Independent Directors (IDs) on the Boards of every li || SOLUTION: We cannot deny the fact that today we are better informed, scientifically
and technically better prepared and provided with security and safety
against major maladies our ancestors could not face. The world has
been converted to one location where everyone can experience through
jet speed, communicate, and commute to every nook and corner of the
world. We are today better acquainted with the nature and styles of lives
of all around the globe. We understand each other in the world in a much
clearer way than before. We share the advantages of all the technical
and scientific process developments, researches, innovations all across
the world. We are even trying to explore accessing resources from other
planets in the universe. What has been mentioned in the foregoing seems to be a little con-
fusing on the developments as mentioned. The rub-​off effect of the phe-
nomenal advance in science and technology and their adoptions in the
day-​to-​day life appear to be the over dependence on others for our es-
sential and not so essential requirements, and consequent loss in self-​
confidence and ability to manage globalized complexity. But the mute
question remains as to how do we manage sa"
"6","Transfer Pricing in Cross Border Taxation: LG India and LG Electronics Korea","Indian Business Case Studies Volume I (Oxford University Press, 2022)","Finance/Taxation","2022","CASE: LG India is a subsidiary company of LG Electronics Korea, which had
incurred advertisement, marketing, and sales promotion expenditure on
behalf of LG Electronics Income Tax. However the Transfer Pricing Officer (TPO) of the income tax de-
partment came up with a view that the said company had carried out
foreign brand promotion in India for which it must have charged for
such services to its foreign entity. And thus came up with a formula
of cost plus 13% markup profit to determine the service price that LG
should have charged to its foreign entity and pay income tax on such
profits gained. Abbreviations used 1. TP Transfer Pricing 2. TPO Transfer Pricing Officer 3. AMP Advertisement, marketing and sales promotion expenses 4. ALP Arm’s Length Price 5. AE Associated Enterprise 6. AO Assessing Officer 7. DRP Dispute Resolution Panel Transfer Pricing Transfer pricing (TP) has a significant role to play in terms of taxation
of income from intangibles in case of inter-​company TP in today’s cross
border world. Multinational corporations have been tapping the Indian market
through their local affiliates and naturally due to stiff competition they
have increased their advertisement expenses manifold which has led to
the growing importance of the key fore issue of TP, thereby creating in-
come from intangibles and in turn taxation of the associated income. The tax officials are overzealous to bring advertisement, marketing and
sales promotion expense (AMP) in the tax bracket due to the number of
multinational companies taking the shelter under TP adjustments. With special reference to the LG Electronics case which is a wholly
owned subsidiary of LG Electronics INC. Korea. As per the ‘Technical
Assistance and Royalty Agreement’ executed on 1 July 2001, LG India
was given a right to use the technical information, designs, drawings,
and industrial property rights for the manufacture, marketing, sales, and
services of the agreed products from LG Korea on payment of royalty at
the rate of 1%. LG was also allowed to use the brand name and trade-​
marks owned by LG Korea without payment of any royalty during the
relevant period. For the assessment year 2007–​2008, the TPO found that the AMP
Expenditure/​Sales ratio of the taxpayer was 3.85 % against 1.39% of
the two comparable companies. The TPO also held that the taxpayer
promoted brand ownership by its foreign Associated Enterprise (AE) Transfer pricing in cross border taxation 59
and therefore the taxpayer should hav || SOLUTION: The place of TP in the determination of income tax on intangibles in case
of inter-​company TP in international finance. Multinational corporations
incur advertisement expenses manifold leading to the growing import-
ance of the key role of TPO, thereby creating income from intangibles and in turn taxation of the associated income. Tax officials are anxious to
bring AMP in the tax bracket due to the number of multinational com-
panies taking the shelter under TP adjustments. LG India was a corner-
stone case study of the above phenomenon bringing MNCs in the tax net."
"7","Direct Taxation: Shell India and Shell Gas BV","Indian Business Case Studies Volume I (Oxford University Press, 2022)","Finance/Taxation","2022","CASE: M/​S Shell India and Shell Gas BV The transfer pricing has a significant role to play in terms of taxation of
income from intangibles in case of intercompany transfer pricing, in
today’s world. With special reference to the Shell case which is a wholly owned sub-
sidiary of the Royal Dutch Shell Group. The Royal Dutch Shell Group was created in February 1907 through the
amalgamation of two rival companies: Royal Dutch Petroleum Company
and the ‘Shell’ Transport and Trading Company Ltd of the United Kingdom. Case Details Shell India Markets Pvt Ltd (Shell India) is a wholly owned subsidiary of
the Royal Dutch Shell Group of Companies. Shell India (the taxpayer) had issued equity shares to its non-​resident associated enterprises (AEs)
at face value. The Transfer Pricing Officer (TPO) alleged short receipt of
consideration for issue of shares and made an adjustment for the differ-
ence between the arm’s length price (ALP) consideration (as computed
by the TPO) and the consideration based on face value (as had been re-
ceived by the taxpayer). The TPO also added an interest amount on the
short receipt. Aggrieved, the taxpayer filed a writ petition before the High
Court of Bombay (HC) on the issue of jurisdiction, that is, the jurisdic-
tion of revenue to bring to tax amount received on capital account, viz.,
issue of equity shares to its AEs under Chapter X of the Indian Income-​
tax Act, 1961 (the Act). Shell India had issued 870 million shares to Shell Gas BV in March
2009, at Rs.10 a share. However, the Income Tax department was of the
view that the shares were grossly undervalued, and it valued them at Rs.
180 a share. Thus the department added the difference to the taxable in-
come of Shell India. Furthermore, the Income Tax department had is-
sued a show-​cause notice adding another Rs.3,100 crore to Shell India’s
income for 2008–​2009 in another transfer pricing case. Being aggrieved,
the company moved the Bombay High Court, challenging the tax notice. The tax authorities argued that the deal is a transfer pricing arrange-
ment by which the share issued are undervalued and hence the company
is liable to pay tax on the income generated out of it. The tax authorities
also asked for tax on the interest the Anglo-​Dutch Oil Company would
have earned in cases of underpriced transfer of shares. On the contrary the Shell Plc argued that the foreign parent’s equity in-
fusion into its subsidiary is not liable to be taxed, the same being Foreign
Direct Investme || SOLUTION: This case study meticulously explains the intricacies of taxation during
intercompany transfer pricing transactions. The petitioner argued that the view of the revenue regarding invest-
ment of extra premium somewhere would earn additional income was
inadmissible. While the Income Tax department argued that the valuation of Rs 10
per share offered by Shell India to its parent Shell Gas BV, was heavily
underpriced and estimated at Rs 183 per share. According to them the
difference resulting from their evaluation of shares was an income in the
hands of Shell India which had to be taxed. It has to be noted that tax is the major source of revenue for the gov-
ernment, the development of any country’s economy largely depends on
the tax structure it has adopted. A taxation structure which facilitates
the easy of doing business and having no chance for tax evasion brings
prosperity to a country’s economy. On the other hand taxation structure
which has provisions for tax evasion and the one which does not facilitate
ease of doing business slows down the growth of country’s economy."
"8","IL&FS: The Common Tragedy in Non-Banking Financial Corporations","Indian Business Case Studies Volume I (Oxford University Press, 2022)","Finance/NBFC","2022","CASE: Financial woes of the Indian economy continue in spite of taking strong
measures. In 2009 Satyam fiasco rocked the stock markets and similar
type of incident has taken place in 2018. Stock markets were flying high
and bullish trend was present in markets in September 2018 up to third
week. Then the markets showed a downward trend and speculations were
made regarding the reasons for the same. With the future stability of the Indian financial system on the line, ex-
ecutives running a giant infrastructure lender gathered at the company’s
glassy, modernist headquarters in Mumbai and hammered out an ambi-
tious restructuring plan in September last week to manage a $12.6 billion
debt burden after a string of defaults. Except that they weren’t really calling the shots anymore. The very next
day, the government in New Delhi authorized a move to sweep in and
seize control of Infrastructure Leasing & Financial Services Ltd. (IL&FS),
a vast conglomerate that raised billions of dollars in the corporate bond
market and powered the nation’s public project building boom. The stunning move, more typical of China’s command-​and-​control
economy than a free-​wheeling democracy like India, caught investors by
surprise. The decision to oust the company’s board was taken after the govern-
ment had quietly reached out, at least two days earlier, to former bur-
eaucrats and current bankers to orchestrate a board coup, according to
people familiar with the matter. The government had been monitoring
the lender for two weeks, one of the people said. Following a series of meetings in September and months after the first
defaults by the systemically important lender, the ministry was worried
about the multiple shocks to the financial markets that would follow from
IL&FS’s collapse. ‘The restoration of confidence of the money, debt and capital markets,
the banks and financial institutions in the credibility and financial solv-
ency of the IL&FS Group is of utmost importance for the financial sta-
bility of capital and financial markets,’ the government said in a statement The Case Details What Is IL&FS? IL&FS is one of the oldest infrastructure services had in the past helped
out many projects in India. To their credit to name a few Chenani-​
Nashri Tunnel (or Patnitop Tunnel) in Udhampur Built at the foot of the
Himalayan Mountains, the 9 km-​long Patni top tunnel connects the dis-
tricts of Chenani and Nashri. The project involved an investment of Rs
37.2bn ($723m). Also many road  || SOLUTION: The IL&FS crisis has thrown the business of Non-​Banking Financial
Companies (NBFCs) in disarray. With liquidity becoming an issue, the
parallels between an approaching winter and the chill that is setting in on
small business financing are being talked about in great detail. Lenders are not sure if there are any more skeletons in the closet and
every payment and repayment schedule of an NBFC is being scrutinized
threadbare for any signs of distress. Mutual funds, which made a killing in
the last three years, have also decided to go slow on exposure to NBFCs.
As a result, there is suddenly a severe liquidity crisis in the sector and this
is bound to have an impact on small businesses in the country. SMEs in
the country have become reliant on NBFCs to fund their needs and there
is a fear that with liquidity being an issue, these small businesses would
find it very tough to raise money. As a result, thousands of jobs would
now be at risk. The task for the new board, then, is cut out—​to raise long-​
term equity to pull the company out of the woods."
"9","Embracing and Pursuing Change: An Insurance Company Transformation","Indian Business Case Studies Volume I (Oxford University Press, 2022)","Strategic Management","2022","CASE: With the changing expectations of customers, organizations constantly
need to adapt to remain competitive. When faced with such pressures
for change, managers may look for situations which are familiar to them.
This may involve improving the ways in which they operate, but only little
by little. This is called incremental change. The danger is that improving
little by little might not be enough. They need to adapt to all of the bigger
changes in the environment of that business as well. If they don’t what
happens is strategic drift. Introduction The AEGON Group has 27,000 employees and over 25 million customers
worldwide. Its major markets are in the USA and Netherlands. Since
1994, the UK has become another major and increasingly important
market. In 1994 AEGON bought a large stake in Scottish Equitable was
a strong brand with a heritage that went back to the 1830s. Since then
AEGON’s UK business has grown both organically and by acquiring
other businesses. As most of the acquired companies kept their existing identities, aware-
ness of AEGON in the UK remained relatively low. AEGON realized that
such low levels of awareness could impact on its ability to achieve its am-
bitions. Therefore, it needed to combine the global strength of its parent
with the experience and reputation of the domestic company brands, like
Scottish Equitable, that made up AEGON in the UK. External Factors Influencing Change One of the main challenges for decision makers is to understand the en-
vironment in which they are operating. They can then identify key issues
which they need to respond to. Understanding these key issues improves
decision-​taking and reduces uncertainty. Few industries have experi-
enced as many changes in their external environment in recent years as
financial services. Thinking ahead and saving for retirement is a concept that is some-
times difficult for people to understand. In the UK, life expectancy has
risen in recent years so people can expect to be retired for longer. In many
instances, individuals have not planned properly for retirement and there
may be a shortfall in the amount of money available. There is also a drive
by the government to reduce dependency on the state in old age. Added
to this many companies have introduced new, less expensive pension
schemes or insisted on employee pension contributions where they did
not in the past. These factors mean people have to make decisions to in-
vest properly at an earlier stage of their working li || SOLUTION: Change is continuous. The process of change is a journey. External fac-
tors will always be there to influence business organization. AEGON re-
sponded to those factors by simplifying, clarifying, and strengthening its
brand in the UK. As organizations change, their patterns of behaviour
and business culture develop. For AEGON, this is a cycle in which the business uses its knowledge to learn from its experiences. This has helped
AEGON as an organization to move positively towards achieving its full
potential and to remain competitive in an increasingly difficult market
(Business Case Studies LLP)."
"10","Tata Motors: Perennial Issues at the Indian Auto Giant","Indian Business Case Studies Volume I (Oxford University Press, 2022)","Automobile/Operations","2022","CASE: This case tries to understand and analyse the marketing strategy adopted
by TAMO for Tiago. The practice of segmenting, targeting, and posi-
tioning of products with right choice of channels to reach out to the
targeted segment is used by TAMO to strengthen the market position
of their other products. The below case highlights how the designers at
TAMO used various platforms for developing car models right from
traditional clay miniatures to life-​size models to digitization of final
shapes before finalizing the machining facilities. The great success behind
TAMO designs is considering the role and mindset of female buyers as well as drivers which they focus more. This case study gives us insight
about how TAMO turned the wheels of fortune and re-​imagined the way
we look at cars! Introduction At the TAMO design studio in Pune, a group of qualified and experienced
people play around with clay, making models of cars throughout the day.
Some are miniatures but then others are life-​size. The clay is special; when
heated to 65 degrees centigrade, it is soft and malleable. Cooled to room
temperature, it becomes harder and lends itself to scraping and sculpting
with knives. Often, the team works on four models at a time, moulding
and taking images to digitize the final shape. It helps TAMO design better
cars and also helps answer a larger question. The other is handcrafting a full-​size car out of metal and plastic. That’s
not futuristic technology at work; rather it is going back to the basics of
car designing, something TAMO took almost two decades to learn. The
handcrafted model is great for getting feedback before machining facil-
ities are finalized. Then there are the finer details that Bose points out—​
colours must match across material, metals, and plastic, and they should
look similar from different angles. Role of Women Drivers The company also learnt that women drivers are impressed by such at-
tention to detail. They also like utilities inside the car. Mayank Pareek,
President of TAMO for passenger vehicles, says: ‘We have done the hard
work in reinvigorating and recasting Tata Motors’ products with an eye
on customer preferences. Women are important influencers when it comes to the purchase of a
car. They are also 17 per cent of our customer base.’ The result is Tata’s new
car Tiago, a hatchback priced at Rs 3.20 lakh which, in its third month,
outsells every other model from the Tata stable. Launched in April 2016,
4,205 Tiagos were sold in June, || SOLUTION: 1. TAMO feel that they have a limited portfolio and expect the vol- umes to climb gradually with the consistent introduction of new models over the coming years. 2. Meanwhile, the company is trying to ramp up production to cater to demand for the Tiago. 3. Having launched in April, a few months is too short a time to ana- lyse Tiago’s success. 4. The Tiago is a game-​changing effort towards a robust passenger ve- hicle business."
